58069;start General course;42979,6632
352731;start General course;43128,4278
462908;start General course;42979,5007
462920;start General course;43031,7069
538881;start General course;42997,5819
541117;start General course;42994,3785
546563;start General course;43130,4590
565737;start General course;43117,7465
566338;start General course;43178,5806
574327;start General course;43003,7486
628641;start General course;43020,3736
650907;start General course;43013,4146
833250;start General course;43116,5882
849017;start General course;43068,5764
897245;start General course;43076,6639
944929;start General course;43081,5806
975563;start General course;43136,6306
985171;start General course;43096,3382
1078938;start General course;43212,4563
1102340;start General course;43176,4583
1110421;start General course;43212,3708
1145173;start General course;43175,5479
1194636;start General course;43175,6694
1237027;start General course;43194,6708
1245254;start General course;43174,7069
1333150;start General course;43170,6167
1352880;start General course;43171,6646
1359936;start General course;43164,4139
1389584;start General course;43175,5361
1406639;start General course;43175,6222
1409948;start General course;43208,7472
1420143;start General course;43179,6660
1443660;start General course;43200,7049
1455479;start General course;43180,7882
1464938;start General course;43186,1667
1470857;start General course;43212,2493
1503073;start General course;43199,2500
1506528;start General course;43202,6660
1510255;start General course;43212,2938
1516039;start General course;43194,6715
1519399;start General course;43196,5431
1529097;start General course;43200,5410
1589373;start General course;43214,5833
1642952;start General course;43216,3313
921920;fell asleep;43125,6319
354722;fell asleep;43125,6326
1424748;fell asleep;43201,5896
390932;fell asleep;43007,6292
921374;fell asleep;43205,2569
75493;Finished course;43215,6083
630320;Dropped General;43055,5792
885677;fell asleep;43178,7479
1217071;Finished course;43256,6250
738046;fell asleep;43156,4653
1441287;Dropped General;43237,7069
592139;fell asleep;43138,5875
1054096;fell asleep;43157,5910
404728;fell asleep;43042,6736
864536;fell asleep;43076,6292
58069;Finished course;43038,6563
649409;fell asleep;43118,6313
1041568;fell asleep;43189,5951
657663;level up;43083,7069
899969;level up;43117,6639
449249;successful class;43068,5819
574327;successful class;43073,7514
254179;successful class;43032,5403
366875;successful class;43036,4806
879454;successful class;43115,2410
594639;successful class;43073,7076
499809;successful class;43023,3771
594639;successful class;43049,7083
608141;successful class;43077,7083
501809;successful class;43119,6278
611313;successful class;43028,5958
756925;successful class;43091,7507
918301;successful class;43094,7896
604736;successful class;43038,6667
768988;successful class;43087,3313
920732;successful class;43140,2500
82241;successful class;43154,6639
906611;successful class;43186,7069
880700;successful class;43115,4708
782331;successful class;43080,6236
294308;successful class;43154,4590
793511;successful class;43090,6660
608141;successful class;43082,6667
972261;successful class;43136,7479
762492;successful class;43173,5007
625606;successful class;43063,7097
82241;successful class;43070,6653
604736;successful class;43115,6646
587454;successful class;43133,6618
626700;successful class;43165,5389
788120;successful class;43040,6646
499809;successful class;43031,2528
782331;successful class;43136,6236
1442992;successful class;43212,3743
1442992;successful class;43197,3299
940418;successful class;43153,4569
541117;successful class;43001,3743
650907;successful class;43025,4986
254179;successful class;43021,5806
516461;successful class;43034,7049
1000410;successful class;43112,3778
756925;successful class;43098,7500
49434;successful class;43004,6979
608141;successful class;43014,7083
723992;successful class;43136,6250
880700;successful class;43159,4972
501809;successful class;43094,6882
811589;successful class;43171,7500
608141;successful class;43054,7500
500399;successful class;43171,5431
620447;successful class;43147,6243
788120;successful class;43059,5854
1442992;successful class;43184,3229
798585;successful class;43093,5792
788120;successful class;43143,5840
1000410;successful class;43214,7090
574327;successful class;43024,7493
697087;successful class;43066,5438
500399;successful class;43119,6667
565737;successful class;43215,6674
984881;successful class;43195,7076
82241;successful class;43196,6667
